,Handle,Date,Text,Compound_Score,Positive_score,Negative_score,Neutral_score
0,@BBC,Mon Apr 02 23:22:44 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
1,@BBC,Mon Apr 02 23:22:38 +0000 2018,@BrutalVeracity @DonnaWe51549635 @Eagle50425849 @Icon99558924 @JLadstone @OhRoyalOne @shaistasalam1 @JSinghF… https://t.co/5w6JLfF4kG,0.0,0.0,0.0,1.0
2,@BBC,Mon Apr 02 23:22:31 +0000 2018,RT @DrMahmoudRefaat: #Egypt: #Sisi pretends 24 million participated in #EgyptElection2018 while world media reported no voters in ballots c…,-0.3818,0.0,0.175,0.825
3,@BBC,Mon Apr 02 23:22:24 +0000 2018,@DonnaWe51549635 @Eagle50425849 @cjsienna55 @Icon99558924 @JLadstone @OhRoyalOne @shaistasalam1 @JSinghF @lunermoth… https://t.co/jlWH43287b,0.0,0.0,0.0,1.0
4,@BBC,Mon Apr 02 23:22:24 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
5,@BBC,Mon Apr 02 23:22:23 +0000 2018,RT @cjsienna55: @BrutalVeracity @FarSight3 @Eagle50425849 @Icon99558924 @JLadstone @OhRoyalOne @shaistasalam1 @JSinghF @lunermoth @Dausdava…,0.0,0.0,0.0,1.0
6,@BBC,Mon Apr 02 23:22:23 +0000 2018,RT @dontbrexitfixit: You won't see it on @BBC website because it isn't as newsworthy as some dumbass Twatknacker dumping some dead fish int…,-0.8807,0.0,0.338,0.662
7,@BBC,Mon Apr 02 23:22:14 +0000 2018,"RT @Animal_Watch: The illegal wildlife trade is worth £18bn per year, but @wildliferescue are working to turn it around.

#BigCatsAboutTheH…",-0.2144,0.067,0.106,0.828
8,@BBC,Mon Apr 02 23:22:12 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
9,@BBC,Mon Apr 02 23:22:10 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
10,@BBC,Mon Apr 02 23:22:09 +0000 2018,RT @BrutalVeracity: @cjsienna55 @FarSight3 @Eagle50425849 @Icon99558924 @JLadstone @OhRoyalOne @shaistasalam1 @JSinghF @lunermoth @Dausdava…,0.0,0.0,0.0,1.0
11,@BBC,Mon Apr 02 23:21:59 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
12,@BBC,Mon Apr 02 23:21:54 +0000 2018,"RT @carolecadwalla: Oh, right. My mistake. That was the second New Yorker story about Cambridge Analytica, AggregateIQ &amp; its links to the B…",-0.34,0.0,0.098,0.902
13,@BBC,Mon Apr 02 23:21:53 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
14,@BBC,Mon Apr 02 23:21:53 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
15,@BBC,Mon Apr 02 23:21:51 +0000 2018,@DonnaWe51549635 @Eagle50425849 @cjsienna55 @Icon99558924 @JLadstone @OhRoyalOne @shaistasalam1 @JSinghF @lunermoth… https://t.co/mfl0QkYSNx,0.0,0.0,0.0,1.0
16,@BBC,Mon Apr 02 23:21:51 +0000 2018,@egregormasters1 @BrutalVeracity @Eagle50425849 @Icon99558924 @JLadstone @OhRoyalOne @shaistasalam1 @JSinghF… https://t.co/tsW3JqDUvM,0.0,0.0,0.0,1.0
17,@BBC,Mon Apr 02 23:21:29 +0000 2018,RT @BrutalVeracity: @DonnaWe51549635 @Eagle50425849 @cjsienna55 @Icon99558924 @JLadstone @OhRoyalOne @shaistasalam1 @JSinghF @lunermoth @Da…,0.0,0.0,0.0,1.0
18,@BBC,Mon Apr 02 23:21:26 +0000 2018,@carolecadwalla @WorkPsychol @BBC Although it was on the #bbc on the weekly #technology show @BBCClick with an interview by @spenley,0.0,0.0,0.0,1.0
19,@BBC,Mon Apr 02 23:21:17 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
20,@BBC,Mon Apr 02 23:20:56 +0000 2018,RT @BBC: Our favourite #AprilFoolsDay was when spaghetti grew on trees in 1957. https://t.co/qRGuM9NnRZ,0.0,0.0,0.0,1.0
21,@BBC,Mon Apr 02 23:20:52 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
22,@BBC,Mon Apr 02 23:20:49 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
23,@BBC,Mon Apr 02 23:20:34 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
